location_uid,city_id,city_name,region_code,zip_code,source_system,active_flag
04158_04500,04158,QUINSON,93,04500,insee_communes_bocp_2025,true
04159_04150,04159,REDORTIERS,93,04150,insee_communes_bocp_2025,true
04160_04110,04160,REILLANNE,93,04110,insee_communes_bocp_2025,true
04161_04340,04161,MEOLANS REVEL,93,04340,insee_communes_bocp_2025,true
04161_04340,04161,MEOLANS REVEL,93,04340,insee_communes_bocp_2025,true
04161_04340,04161,MEOLANS REVEL,93,04340,insee_communes_bocp_2025,true
04162_04150,04162,REVEST DES BROUSSES,93,04150,insee_communes_bocp_2025,true
04163_04150,04163,REVEST DU BION,93,04150,insee_communes_bocp_2025,true
04164_04230,04164,REVEST ST MARTIN,93,04230,insee_communes_bocp_2025,true
04166_04500,04166,RIEZ,93,04500,insee_communes_bocp_2025,true
04167_04000,04167,LA ROBINE SUR GALABRE,93,04000,insee_communes_bocp_2025,true
04167_04000,04167,LA ROBINE SUR GALABRE,93,04000,insee_communes_bocp_2025,true
04167_04000,04167,LA ROBINE SUR GALABRE,93,04000,insee_communes_bocp_2025,true
04167_04000,04167,LA ROBINE SUR GALABRE,93,04000,insee_communes_bocp_2025,true
04169_04150,04169,LA ROCHEGIRON,93,04150,insee_communes_bocp_2025,true
04170_06260,04170,LA ROCHETTE,93,06260,insee_communes_bocp_2025,true
04171_04120,04171,ROUGON,93,04120,insee_communes_bocp_2025,true
04172_04500,04172,ROUMOULES,93,04500,insee_communes_bocp_2025,true
04173_04170,04173,ST ANDRE LES ALPES,93,04170,insee_communes_bocp_2025,true
04174_04240,04174,ST BENOIT,93,04240,insee_communes_bocp_2025,true
04175_04110,04175,STE CROIX A LAUZE,93,04110,insee_communes_bocp_2025,true
04176_04500,04176,STE CROIX DU VERDON,93,04500,insee_communes_bocp_2025,true
04177_04380,04177,HAUTES DUYES,93,04380,insee_communes_bocp_2025,true
04177_04380,04177,HAUTES DUYES,93,04380,insee_communes_bocp_2025,true
04178_04230,04178,ST ETIENNE LES ORGUES,93,04230,insee_communes_bocp_2025,true
04179_04200,04179,ST GENIEZ,93,04200,insee_communes_bocp_2025,true
04180_04330,04180,ST JACQUES,93,04330,insee_communes_bocp_2025,true
04181_04270,04181,ST JEANNET,93,04270,insee_communes_bocp_2025,true
04182_04270,04182,ST JULIEN D ASSE,93,04270,insee_communes_bocp_2025,true
04183_04170,04183,ST JULIEN DU VERDON,93,04170,insee_communes_bocp_2025,true
04184_04410,04184,ST JURS,93,04410,insee_communes_bocp_2025,true
04186_04500,04186,ST LAURENT DU VERDON,93,04500,insee_communes_bocp_2025,true
04187_04330,04187,ST LIONS,93,04330,insee_communes_bocp_2025,true
04188_04300,04188,ST MAIME,93,04300,insee_communes_bocp_2025,true
04189_04800,04189,ST MARTIN DE BROMES,93,04800,insee_communes_bocp_2025,true
04190_04300,04190,ST MARTIN LES EAUX,93,04300,insee_communes_bocp_2025,true
04191_04140,04191,ST MARTIN LES SEYNE,93,04140,insee_communes_bocp_2025,true
04192_04870,04192,ST MICHEL L OBSERVATOIRE,93,04870,insee_communes_bocp_2025,true
04192_04870,04192,ST MICHEL L OBSERVATOIRE,93,04870,insee_communes_bocp_2025,true
04193_04530,04193,ST PAUL SUR UBAYE,93,04530,insee_communes_bocp_2025,true
04194_06260,04194,ST PIERRE,93,06260,insee_communes_bocp_2025,true
04195_04400,04195,ST PONS,93,04400,insee_communes_bocp_2025,true
04197_04220,04197,STE TULLE,93,04220,insee_communes_bocp_2025,true
04199_04200,04199,ST VINCENT SUR JABRON,93,04200,insee_communes_bocp_2025,true
04200_04290,04200,SALIGNAC,93,04290,insee_communes_bocp_2025,true
04201_04150,04201,SAUMANE,93,04150,insee_communes_bocp_2025,true
04202_04320,04202,SAUSSES,93,04320,insee_communes_bocp_2025,true
04203_04140,04203,SELONNET,93,04140,insee_communes_bocp_2025,true
04204_04270,04204,SENEZ,93,04270,insee_communes_bocp_2025,true
04204_04330,04204,SENEZ,93,04330,insee_communes_bocp_2025,true
04205_04140,04205,SEYNE,93,04140,insee_communes_bocp_2025,true
04206_04300,04206,SIGONCE,93,04300,insee_communes_bocp_2025,true
04207_04200,04207,SIGOYER,93,04200,insee_communes_bocp_2025,true
04208_04150,04208,SIMIANE LA ROTONDE,93,04150,insee_communes_bocp_2025,true
04208_04150,04208,SIMIANE LA ROTONDE,93,04150,insee_communes_bocp_2025,true
04208_04150,04208,SIMIANE LA ROTONDE,93,04150,insee_communes_bocp_2025,true
04209_04200,04209,SISTERON,93,04200,insee_communes_bocp_2025,true
04210_04120,04210,SOLEILHAS,93,04120,insee_communes_bocp_2025,true
04211_04290,04211,SOURRIBES,93,04290,insee_communes_bocp_2025,true
04214_04330,04214,TARTONNE,93,04330,insee_communes_bocp_2025,true
04216_04200,04216,THEZE,93,04200,insee_communes_bocp_2025,true
04217_04380,04217,THOARD,93,04380,insee_communes_bocp_2025,true
04217_04380,04217,THOARD,93,04380,insee_communes_bocp_2025,true
04218_04170,04218,THORAME BASSE,93,04170,insee_communes_bocp_2025,true
04219_04170,04219,THORAME HAUTE,93,04170,insee_communes_bocp_2025,true
04219_04170,04219,THORAME HAUTE,93,04170,insee_communes_bocp_2025,true
04220_04400,04220,LES THUILES,93,04400,insee_communes_bocp_2025,true
04222_04250,04222,TURRIERS,93,04250,insee_communes_bocp_2025,true
04224_04240,04224,UBRAYE,93,04240,insee_communes_bocp_2025,true
04226_04400,04226,UVERNET FOURS,93,04400,insee_communes_bocp_2025,true
04226_04400,04226,UVERNET FOURS,93,04400,insee_communes_bocp_2025,true
04226_04400,04226,UVERNET FOURS,93,04400,insee_communes_bocp_2025,true
04227_04110,04227,VACHERES,93,04110,insee_communes_bocp_2025,true
04228_04250,04228,VALAVOIRE,93,04250,insee_communes_bocp_2025,true
04229_04200,04229,VALBELLE,93,04200,insee_communes_bocp_2025,true
04230_04210,04230,VALENSOLE,93,04210,insee_communes_bocp_2025,true
04231_04200,04231,VALERNES,93,04200,insee_communes_bocp_2025,true
