location_uid,city_id,city_name,region_code,zip_code,source_system,active_flag,longitude,latitude,geo_point
04123_04200,04123,MISON,93,04200,insee_communes_bocp_2025,true,5.8676,44.2629,POINT(5.8676 44.2629)
04124_04500,04124,MONTAGNAC MONTPEZAT,93,04500,insee_communes_bocp_2025,true,6.0944,43.7631,POINT(6.0944 43.7631)
04124_04500,04124,MONTAGNAC MONTPEZAT,93,04500,insee_communes_bocp_2025,true,6.0944,43.7631,POINT(6.0944 43.7631)
04126_04140,04126,MONTCLAR,93,04140,insee_communes_bocp_2025,true,6.3428,44.4004,POINT(6.3428 44.4004)
04127_04600,04127,MONTFORT,93,04600,insee_communes_bocp_2025,true,5.9505,44.0551,POINT(5.9505 44.0551)
04128_04110,04128,MONTFURON,93,04110,insee_communes_bocp_2025,true,5.6901,43.8289,POINT(5.6901 43.8289)
04129_04110,04129,MONTJUSTIN,93,04110,insee_communes_bocp_2025,true,5.6584,43.8436,POINT(5.6584 43.8436)
04130_04230,04130,MONTLAUX,93,04230,insee_communes_bocp_2025,true,5.8443,44.0405,POINT(5.8443 44.0405)
04132_04150,04132,MONTSALIER,93,04150,insee_communes_bocp_2025,true,5.5896,44.0232,POINT(5.5896 44.0232)
04133_04170,04133,MORIEZ,93,04170,insee_communes_bocp_2025,true,6.462,43.963,POINT(6.462 43.963)
04134_04250,04134,LA MOTTE DU CAIRE,93,04250,insee_communes_bocp_2025,true,6.0406,44.3412,POINT(6.0406 44.3412)
04135_04360,04135,MOUSTIERS STE MARIE,93,04360,insee_communes_bocp_2025,true,6.2289,43.837,POINT(6.2289 43.837)
04136_04170,04136,LA MURE ARGENS,93,04170,insee_communes_bocp_2025,true,6.5295,44.0186,POINT(6.5295 44.0186)
04136_04170,04136,LA MURE ARGENS,93,04170,insee_communes_bocp_2025,true,6.5295,44.0186,POINT(6.5295 44.0186)
04137_04250,04137,NIBLES,93,04250,insee_communes_bocp_2025,true,6.0095,44.2882,POINT(6.0095 44.2882)
04138_04300,04138,NIOZELLES,93,04300,insee_communes_bocp_2025,true,5.8445,43.933,POINT(5.8445 43.933)
04139_04200,04139,NOYERS SUR JABRON,93,04200,insee_communes_bocp_2025,true,5.8078,44.1644,POINT(5.8078 44.1644)
04140_04200,04140,LES OMERGUES,93,04200,insee_communes_bocp_2025,true,5.5933,44.1513,POINT(5.5933 44.1513)
04141_04230,04141,ONGLES,93,04230,insee_communes_bocp_2025,true,5.7249,44.039,POINT(5.7249 44.039)
04142_04110,04142,OPPEDETTE,93,04110,insee_communes_bocp_2025,true,5.5906,43.9304,POINT(5.5906 43.9304)
04143_04700,04143,ORAISON,93,04700,insee_communes_bocp_2025,true,5.9232,43.9116,POINT(5.9232 43.9116)
04144_04120,04144,LA PALUD SUR VERDON,93,04120,insee_communes_bocp_2025,true,6.323,43.801,POINT(6.323 43.801)
04144_04120,04144,LA PALUD SUR VERDON,93,04120,insee_communes_bocp_2025,true,6.323,43.801,POINT(6.323 43.801)
04145_04200,04145,PEIPIN,93,04200,insee_communes_bocp_2025,true,5.9447,44.1407,POINT(5.9447 44.1407)
04145_04200,04145,PEIPIN,93,04200,insee_communes_bocp_2025,true,5.9447,44.1407,POINT(5.9447 44.1407)
04148_04120,04148,PEYROULES,93,04120,insee_communes_bocp_2025,true,6.6495,43.8168,POINT(6.6495 43.8168)
04149_04310,04149,PEYRUIS,93,04310,insee_communes_bocp_2025,true,5.9306,44.0351,POINT(5.9306 44.0351)
04150_05130,04150,PIEGUT,93,05130,insee_communes_bocp_2025,true,6.1321,44.4546,POINT(6.1321 44.4546)
04151_04300,04151,PIERRERUE,93,04300,insee_communes_bocp_2025,true,5.8394,43.9645,POINT(5.8394 43.9645)
04152_04860,04152,PIERREVERT,93,04860,insee_communes_bocp_2025,true,5.725,43.808,POINT(5.725 43.808)
04154_05160,04154,PONTIS,93,05160,insee_communes_bocp_2025,true,6.3704,44.4984,POINT(6.3704 44.4984)
04155_04420,04155,PRADS HAUTE BLEONE,93,04420,insee_communes_bocp_2025,true,6.4598,44.2135,POINT(6.4598 44.2135)
04155_04420,04155,PRADS HAUTE BLEONE,93,04420,insee_communes_bocp_2025,true,6.4598,44.2135,POINT(6.4598 44.2135)
04155_04420,04155,PRADS HAUTE BLEONE,93,04420,insee_communes_bocp_2025,true,6.4598,44.2135,POINT(6.4598 44.2135)
04156_04700,04156,PUIMICHEL,93,04700,insee_communes_bocp_2025,true,6.0245,43.9803,POINT(6.0245 43.9803)
04157_04410,04157,PUIMOISSON,93,04410,insee_communes_bocp_2025,true,6.1216,43.8687,POINT(6.1216 43.8687)
04158_04500,04158,QUINSON,93,04500,insee_communes_bocp_2025,true,6.0236,43.7048,POINT(6.0236 43.7048)
04159_04150,04159,REDORTIERS,93,04150,insee_communes_bocp_2025,true,5.6111,44.0982,POINT(5.6111 44.0982)
04160_04110,04160,REILLANNE,93,04110,insee_communes_bocp_2025,true,5.6565,43.8884,POINT(5.6565 43.8884)
04161_04340,04161,MEOLANS REVEL,93,04340,insee_communes_bocp_2025,true,6.4988,44.3688,POINT(6.4988 44.3688)
04161_04340,04161,MEOLANS REVEL,93,04340,insee_communes_bocp_2025,true,6.4988,44.3688,POINT(6.4988 44.3688)
04161_04340,04161,MEOLANS REVEL,93,04340,insee_communes_bocp_2025,true,6.4988,44.3688,POINT(6.4988 44.3688)
04162_04150,04162,REVEST DES BROUSSES,93,04150,insee_communes_bocp_2025,true,5.6742,43.9805,POINT(5.6742 43.9805)
04163_04150,04163,REVEST DU BION,93,04150,insee_communes_bocp_2025,true,5.5439,44.1024,POINT(5.5439 44.1024)
04164_04230,04164,REVEST ST MARTIN,93,04230,insee_communes_bocp_2025,true,5.8258,44.0228,POINT(5.8258 44.0228)
04166_04500,04166,RIEZ,93,04500,insee_communes_bocp_2025,true,6.0849,43.8358,POINT(6.0849 43.8358)
04167_04000,04167,LA ROBINE SUR GALABRE,93,04000,insee_communes_bocp_2025,true,6.2328,44.1883,POINT(6.2328 44.1883)
04167_04000,04167,LA ROBINE SUR GALABRE,93,04000,insee_communes_bocp_2025,true,6.2328,44.1883,POINT(6.2328 44.1883)
04167_04000,04167,LA ROBINE SUR GALABRE,93,04000,insee_communes_bocp_2025,true,6.2328,44.1883,POINT(6.2328 44.1883)
04167_04000,04167,LA ROBINE SUR GALABRE,93,04000,insee_communes_bocp_2025,true,6.2328,44.1883,POINT(6.2328 44.1883)
04169_04150,04169,LA ROCHEGIRON,93,04150,insee_communes_bocp_2025,true,5.6654,44.1061,POINT(5.6654 44.1061)
04170_06260,04170,LA ROCHETTE,93,06260,insee_communes_bocp_2025,true,6.875,43.9097,POINT(6.875 43.9097)
04171_04120,04171,ROUGON,93,04120,insee_communes_bocp_2025,true,6.3951,43.7866,POINT(6.3951 43.7866)
04172_04500,04172,ROUMOULES,93,04500,insee_communes_bocp_2025,true,6.1526,43.8196,POINT(6.1526 43.8196)
04173_04170,04173,ST ANDRE LES ALPES,93,04170,insee_communes_bocp_2025,true,6.5043,43.9711,POINT(6.5043 43.9711)
04174_04240,04174,ST BENOIT,93,04240,insee_communes_bocp_2025,true,6.7282,43.96,POINT(6.7282 43.96)
04175_04110,04175,STE CROIX A LAUZE,93,04110,insee_communes_bocp_2025,true,5.6152,43.9054,POINT(5.6152 43.9054)
04176_04500,04176,STE CROIX DU VERDON,93,04500,insee_communes_bocp_2025,true,6.1502,43.762,POINT(6.1502 43.762)
04177_04380,04177,HAUTES DUYES,93,04380,insee_communes_bocp_2025,true,6.1719,44.1969,POINT(6.1719 44.1969)
04177_04380,04177,HAUTES DUYES,93,04380,insee_communes_bocp_2025,true,6.1719,44.1969,POINT(6.1719 44.1969)
04178_04230,04178,ST ETIENNE LES ORGUES,93,04230,insee_communes_bocp_2025,true,5.7798,44.0648,POINT(5.7798 44.0648)
04179_04200,04179,ST GENIEZ,93,04200,insee_communes_bocp_2025,true,6.0526,44.2368,POINT(6.0526 44.2368)
04180_04330,04180,ST JACQUES,93,04330,insee_communes_bocp_2025,true,6.369,43.9759,POINT(6.369 43.9759)
04181_04270,04181,ST JEANNET,93,04270,insee_communes_bocp_2025,true,6.1119,43.9778,POINT(6.1119 43.9778)
04182_04270,04182,ST JULIEN D ASSE,93,04270,insee_communes_bocp_2025,true,6.071,43.9386,POINT(6.071 43.9386)
04183_04170,04183,ST JULIEN DU VERDON,93,04170,insee_communes_bocp_2025,true,6.5472,43.9122,POINT(6.5472 43.9122)
04184_04410,04184,ST JURS,93,04410,insee_communes_bocp_2025,true,6.1987,43.8972,POINT(6.1987 43.8972)
